0,15889963611,13420983411,1,1590329154557,success,2000
1,15889963611,13420983411,1,1590329155557,success,3000
2,15889963611,13420983411,1,1590329156557,success,1000
3,15889963615,13420983411,1,1590329156557,success,7000
4,15889963612,13420983411,1,1590329158557,success,5000
5,15889963611,13420983411,1,1590329158557,success,5000
6,15889963612,13420983411,1,1590329199001,success,3000
7,15889963611,13420983411,2,1590329154557,fail,4000
8,15889963613,13420983411,3,1590329154557,fail,5000
9,15889963611,13420983411,3,1590329154557,fail,7000
10,15889963614,13420983411,5,1590329154557,fail,8000
11,15889963615,13420983411,5,1590329154557,fail,9000
